candidate_id,rank,score,reasoning
CAND_0072688,40,0.7094,"Rajesh Goyal is a Data Scientist with 6.9 years experience, matching the JD's stack in Recommendation Systems, Milvus, Qdrant. Demonstrates strong responsiveness (87% response rate) and available on a 45-day notice."
CAND_0041594,41,0.7082,"Aarav Nair is a Computer Vision Engineer with 4.3 years experience, matching the JD's stack in Elasticsearch, NLP, MLOps. Demonstrates strong responsiveness (79% response rate) and available on a 30-day notice."
CAND_0040178,42,0.7072,"Anika Bhatia is a ML Engineer with 5.0 years experience, matching the JD's stack in Weaviate, Python, OpenSearch. Demonstrates strong responsiveness (55% response rate) and available on a 60-day notice."
CAND_0048558,43,0.7054,"Aisha Joshi is a Data Scientist with 6.7 years experience, matching the JD's stack in Information Retrieval, Elasticsearch, Qdrant. Demonstrates strong responsiveness (80% response rate) and available on a 30-day notice."
CAND_0025882,44,0.7047,"Pooja Arora is a Senior Software Engineer (ML) with 5.6 years experience, matching the JD's stack in Milvus, FAISS. Demonstrates strong responsiveness (79% response rate) and available on a 45-day notice."
CAND_0052328,45,0.7042,"Vikram Banerjee is a Recommendation Systems Engineer with 6.5 years experience, matching the JD's stack in Recommendation Systems, Sentence Transformers, Python. Demonstrates strong responsiveness (79% response rate) and available on a 30-day notice."
CAND_0019288,46,0.7041,"Ved Dutta is a AI Research Engineer with 5.7 years experience, matching the JD's stack in NLP, FAISS, TensorFlow. Demonstrates strong responsiveness (38% response rate) and available on a 30-day notice."
CAND_0019880,47,0.7029,"Aanya Tiwari is a AI Specialist with 5.7 years experience, matching the JD's stack in MLOps, NLP, Embeddings. Demonstrates strong responsiveness (68% response rate) and available on a 30-day notice."
CAND_0043637,48,0.7028,"Ela Menon is a Junior ML Engineer with 5.5 years experience, matching the JD's stack in Milvus, PyTorch. Demonstrates strong responsiveness (92% response rate) and available on a 45-day notice."
CAND_0018549,49,0.7027,"Mira Verma is a Recommendation Systems Engineer with 6.8 years experience, matching the JD's stack in Milvus, Weaviate, Qdrant. Demonstrates strong responsiveness (73% response rate) and available on a 60-day notice."
CAND_0050454,50,0.7026,"Saanvi Bansal is a AI Engineer with 6.8 years experience, matching the JD's stack in NLP, Qdrant, FAISS. Demonstrates strong responsiveness (77% response rate) and available on a 30-day notice."
CAND_0068811,51,0.7026,"Krishna Mittal is a Applied ML Engineer with 8.0 years experience, matching the JD's stack in Weaviate, Embeddings, Qdrant. Demonstrates strong responsiveness (42% response rate) and available on a 30-day notice."
CAND_0048166,52,0.7025,"Rajesh Bansal is a ML Engineer with 5.2 years experience, matching the JD's stack in Recommendation Systems, Milvus, Qdrant. Demonstrates strong responsiveness (48% response rate) and available on a 30-day notice."
CAND_0095213,53,0.7025,"Rajesh Dalal is a ML Engineer with 5.1 years experience, matching the JD's stack in Pinecone, Weaviate, Milvus. Demonstrates strong responsiveness (67% response rate) and available on a 60-day notice."
CAND_0057563,54,0.7021,"Om Trivedi is a NLP Engineer with 6.8 years experience, matching the JD's stack in RAG, OpenSearch, Hugging Face Transformers. Demonstrates strong responsiveness (83% response rate) and available on a 60-day notice."
CAND_0087744,55,0.7018,"Pooja Sharma is a Senior Software Engineer (ML) with 3.9 years experience, matching the JD's stack in FAISS, Pinecone, Hugging Face Transformers. Demonstrates strong responsiveness (88% response rate) and available on a 30-day notice."
CAND_0041611,56,0.7005,"Aarohi Chowdary is a Staff Machine Learning Engineer with 6.4 years experience, matching the JD's stack in Weaviate, MLOps, Qdrant. Demonstrates strong responsiveness (7% response rate) and available on a 30-day notice."
CAND_0045141,57,0.7004,"Manish Patel is a Data Scientist with 5.3 years experience, matching the JD's stack in Milvus, FAISS, Recommendation Systems. Demonstrates strong responsiveness (44% response rate) and available on a 30-day notice."
CAND_0064664,58,0.7002,"Shreya Gupta is a ML Engineer with 4.4 years experience, matching the JD's stack in RAG, Milvus, NLP. Demonstrates strong responsiveness (80% response rate) and available on a 45-day notice."
CAND_0068351,59,0.6995,"Aadhya Iyer is a Lead AI Engineer with 6.4 years experience, matching the JD's stack in Information Retrieval Systems, Ranking Systems, Python. Demonstrates strong responsiveness (86% response rate) and available on a 0-day notice. Available immediately (sub-15-day notice)."
CAND_0063622,60,0.6994,"Reyansh Chatterjee is a Computer Vision Engineer with 5.2 years experience, matching the JD's stack in NLP, MLOps. Demonstrates strong responsiveness (92% response rate) and available on a 30-day notice."
CAND_0003841,61,0.6988,"Anjali Krishnan is a ML Engineer with 5.0 years experience, matching the JD's stack in Recommendation Systems, Sentence Transformers, Pinecone. Demonstrates strong responsiveness (71% response rate) and available on a 30-day notice."
CAND_0082913,62,0.6986,"Advaith Sethi is a Senior Software Engineer (ML) with 5.5 years experience, matching the JD's stack in FAISS, TensorFlow, MLOps. Demonstrates strong responsiveness (73% response rate) and available on a 45-day notice."
CAND_0064904,63,0.6985,"Karan Trivedi is a AI Engineer with 4.9 years experience, matching the JD's stack in Weaviate, Embeddings, Recommendation Systems. Demonstrates strong responsiveness (78% response rate) and available on a 90-day notice. Note: carries a longer 90-day notice period."
CAND_0007009,64,0.6984,"Anika Pillai is a Recommendation Systems Engineer with 7.9 years experience, matching the JD's stack in Weaviate, Embeddings, Python. Demonstrates strong responsiveness (62% response rate) and available on a 30-day notice."
CAND_0018961,65,0.6979,"Ishaan Khanna is a AI Specialist with 5.0 years experience, matching the JD's stack in Milvus, Weaviate, Information Retrieval. Demonstrates strong responsiveness (26% response rate) and available on a 60-day notice."
CAND_0067866,66,0.6975,"Kiara Sethi is a Senior Software Engineer (ML) with 6.4 years experience, matching the JD's stack in Qdrant, Embeddings, Elasticsearch. Demonstrates strong responsiveness (79% response rate) and available on a 45-day notice."
CAND_0015078,67,0.6974,"Neha Gupta is a Junior ML Engineer with 5.6 years experience, matching the JD's stack in OpenSearch, MLOps, TensorFlow. Demonstrates strong responsiveness (54% response rate) and available on a 60-day notice."
CAND_0005883,68,0.6972,"Ayaan Sen is a Computer Vision Engineer with 3.5 years experience, matching the JD's stack in NLP, Embeddings. Demonstrates strong responsiveness (78% response rate) and available on a 30-day notice."
CAND_0022812,69,0.6967,"Rohan Saxena is a Applied ML Engineer with 4.5 years experience, matching the JD's stack in Weaviate, MLOps, Qdrant. Demonstrates strong responsiveness (79% response rate) and available on a 60-day notice."
CAND_0091745,70,0.6966,"Karan Agarwal is a Junior ML Engineer with 5.9 years experience, matching the JD's stack in PyTorch, Embeddings, Hugging Face Transformers. Demonstrates strong responsiveness (53% response rate) and available on a 30-day notice."
CAND_0006538,71,0.6964,"Pooja Malhotra is a AI Specialist with 5.7 years experience, matching the JD's stack in Recommendation Systems, MLOps, TensorFlow. Demonstrates strong responsiveness (86% response rate) and available on a 60-day notice."
CAND_0015057,72,0.6961,"Anil Rao is a ML Engineer with 4.6 years experience, matching the JD's stack in Sentence Transformers, Qdrant, Embeddings. Demonstrates strong responsiveness (85% response rate) and available on a 90-day notice. Note: carries a longer 90-day notice period."
CAND_0067403,73,0.6959,"Aarohi Shetty is a Junior ML Engineer with 4.6 years experience, matching the JD's stack in RAG, Qdrant, MLOps. Demonstrates strong responsiveness (26% response rate) and available on a 30-day notice."
CAND_0036437,74,0.6953,"Arjun Joshi is a Search Engineer with 4.8 years experience, matching the JD's stack in Milvus, Weaviate, FAISS. Demonstrates strong responsiveness (87% response rate) and available on a 30-day notice."
CAND_0008628,75,0.6951,"Shreya Shetty is a AI Specialist with 3.2 years experience, matching the JD's stack in Milvus, Weaviate, Recommendation Systems. Demonstrates strong responsiveness (54% response rate) and available on a 60-day notice."
CAND_0076482,76,0.6951,"Tanvi Chatterjee is a ML Engineer with 6.6 years experience, matching the JD's stack in Embeddings, OpenSearch, Pinecone. Demonstrates strong responsiveness (86% response rate) and available on a 60-day notice."
CAND_0039383,77,0.6949,"Riya Malhotra is a Applied ML Engineer with 7.1 years experience, matching the JD's stack in FAISS, Recommendation Systems, NLP. Demonstrates strong responsiveness (61% response rate) and available on a 90-day notice. Note: carries a longer 90-day notice period."
CAND_0082618,78,0.6947,"Pranav Saxena is a Data Scientist with 3.7 years experience, matching the JD's stack in Recommendation Systems, Information Retrieval, Qdrant. Demonstrates strong responsiveness (38% response rate) and available on a 30-day notice."
CAND_0001819,79,0.6942,"Ritu Hegde is a ML Engineer with 4.4 years experience, matching the JD's stack in Weaviate, Recommendation Systems, NLP. Demonstrates strong responsiveness (75% response rate) and available on a 60-day notice."
CAND_0091890,80,0.694,"Ayaan Subramanian is a AI Research Engineer with 4.7 years experience, matching the JD's stack in Milvus, Weaviate, Pinecone. Demonstrates strong responsiveness (49% response rate) and available on a 60-day notice."
CAND_0089381,81,0.6938,"Zara Naidu is a Computer Vision Engineer with 6.0 years experience, matching the JD's stack in Milvus, Python, Pinecone. Demonstrates strong responsiveness (81% response rate) and available on a 90-day notice. Note: carries a longer 90-day notice period."
CAND_0006354,82,0.6937,"Pooja Naidu is a Data Scientist with 4.5 years experience, matching the JD's stack in Information Retrieval, MLOps, Python. Demonstrates strong responsiveness (70% response rate) and available on a 90-day notice. Note: carries a longer 90-day notice period."
CAND_0006418,83,0.6936,"Rahul Mukherjee is a Machine Learning Engineer with 5.7 years experience, matching the JD's stack in Weaviate, Embeddings, Qdrant. Demonstrates strong responsiveness (92% response rate) and available on a 60-day notice."
CAND_0074325,84,0.6935,"Tanya Dalal is a AI Research Engineer with 3.9 years experience, matching the JD's stack in Milvus, NLP, Pinecone. Demonstrates strong responsiveness (47% response rate) and available on a 45-day notice."
CAND_0066999,85,0.6934,"Riya Dalal is a Recommendation Systems Engineer with 5.9 years experience, matching the JD's stack in Information Retrieval, FAISS, Embeddings. Demonstrates strong responsiveness (63% response rate) and available on a 15-day notice. Available immediately (sub-15-day notice)."
CAND_0092278,86,0.6931,"Ananya Arora is a Senior NLP Engineer with 6.8 years experience, matching the JD's stack in Milvus, NLP, Hugging Face Transformers. Demonstrates strong responsiveness (7% response rate) and available on a 90-day notice. Note: carries a longer 90-day notice period."
CAND_0065052,87,0.693,"Myra Trivedi is a AI Specialist with 4.6 years experience, matching the JD's stack in Sentence Transformers, MLOps, FAISS. Demonstrates strong responsiveness (68% response rate) and available on a 30-day notice."
CAND_0060054,88,0.6929,"Aisha Kapoor is a AI Engineer with 6.4 years experience, matching the JD's stack in Weaviate, FAISS, Recommendation Systems. Demonstrates strong responsiveness (86% response rate) and available on a 15-day notice. Available immediately (sub-15-day notice)."
CAND_0022413,89,0.692,"Zara Bose is a Data Scientist with 5.8 years experience, matching the JD's stack in Recommendation Systems, Python, Pinecone. Demonstrates strong responsiveness (34% response rate) and available on a 60-day notice."
CAND_0019845,90,0.6919,"Anjali Sharma is a AI Specialist with 3.4 years experience, matching the JD's stack in Python, NLP, Pinecone. Demonstrates strong responsiveness (78% response rate) and available on a 30-day notice."
CAND_0074123,91,0.6918,"Karan Sen is a Data Scientist with 6.9 years experience, matching the JD's stack in MLOps, NLP, PyTorch. Demonstrates strong responsiveness (38% response rate) and available on a 30-day notice."
CAND_0091580,92,0.6915,"Nikhil Krishnan is a Data Scientist with 5.5 years experience, matching the JD's stack in NLP, Qdrant, FAISS. Demonstrates strong responsiveness (25% response rate) and available on a 60-day notice."
CAND_0078492,93,0.6913,"Aadhya Vora is a Recommendation Systems Engineer with 5.1 years experience, matching the JD's stack in FAISS, Recommendation Systems, Qdrant. Demonstrates strong responsiveness (70% response rate) and available on a 30-day notice."
CAND_0074731,94,0.6912,"Vikram Naidu is a Data Scientist with 6.6 years experience, matching the JD's stack in Weaviate, MLOps, Python. Demonstrates strong responsiveness (57% response rate) and available on a 60-day notice."
CAND_0087364,95,0.6908,"Pari Rao is a Recommendation Systems Engineer with 4.9 years experience, matching the JD's stack in Milvus, Qdrant, Pinecone. Demonstrates strong responsiveness (48% response rate) and available on a 30-day notice."
CAND_0071432,96,0.6906,"Shaurya Arora is a Data Scientist with 4.1 years experience, matching the JD's stack in Weaviate, NLP, Pinecone. Demonstrates strong responsiveness (47% response rate) and available on a 30-day notice."
CAND_0018888,97,0.6905,"Shreya Trivedi is a AI Research Engineer with 6.5 years experience, matching the JD's stack in Information Retrieval, FAISS. Demonstrates strong responsiveness (55% response rate) and available on a 30-day notice."
CAND_0020877,98,0.6904,"Anil Rao is a Applied ML Engineer with 5.1 years experience, matching the JD's stack in Milvus, Weaviate, Information Retrieval. Demonstrates strong responsiveness (66% response rate) and available on a 60-day notice."
CAND_0004972,99,0.6901,"Anika Desai is a ML Engineer with 6.0 years experience, matching the JD's stack in MLOps, OpenSearch, RAG. Demonstrates strong responsiveness (74% response rate) and available on a 90-day notice. Note: carries a longer 90-day notice period."
CAND_0072410,100,0.6901,"Diya Kumar is a ML Engineer with 4.9 years experience, matching the JD's stack in Recommendation Systems, Milvus, PyTorch. Demonstrates strong responsiveness (84% response rate) and available on a 90-day notice. Note: carries a longer 90-day notice period."
